0: 0 | 0
1: 0 | 0 0 0 0
2: 0 | 0
3: 0 | 0 1 2
4: 0 | 4 4 4
5: 0 | 4 5 6
6: 2 | 4 6 4
7: 1 | 6 4
8: 3 | 4 4 4 4
9: 0 | 0 0 0 0 0 0
10: 0 | 2 2 2 2 2
11: 2 | 0
12: 0 | 7 8
13: 0 | 7 8 9
14: 0 | 7 8 8 9
15: 0 | 7 8 9
16: 1 | 65535
17: 1 | 65535
18: 1 | 65535
19: 1 | 65535
20: 1 | 57 58 57 58
21: 0 | 57 58 57 58
22: 1 | 0
23: 0 | 0
24: 3 | 0 0
25: 2 | 0
26: 0 | 1 1 1 1 1 1
27: 0 | 172 172 172 172 172 172
28: 0 | 19
29: 0 | 19
30: 0 | 19
31: 0 | 19
32: 0 | 72
33: 0 | 73 73
34: 0 | 74 74 72
35: 2 | 72 72
36: 0 | 74 75 75
37: 1 | 73 73
38: 0 | 74 74 74
39: 0 | 74 74 75
40: 0 | 72 72
41: 0 | 74 74 74
42: 2 | 74 75 75
43: 3 | 75 74 74
44: 0 | 74 74 74
45: 0 | 74 74
46: 0 | 74 75 74
47: 3 | 75 75 74
48: 0 | 80 77 78 77 78
49: 0 | 80 80 80
50: 2 | 80 80
51: 2 | 80 80 80
52: 0 | 79 79 79 79
53: 0 | 76 76
54: 0 | 80 76 76
55: 0 | 80 79 79 76
56: 0 | 339 79 79
57: 0 | 79 339 80
58: 0 | 80
59: 0 | 80 80
60: 0 | 340 80 80
61: 0 | 76 340 76
62: 0 | 76
63: 0 | 76 76
64: 0 | 87 87
65: 0 | 87 87 89
66: 0 | 86
67: 0 | 86 87 87
68: 2 | 87 87
69: 2 | 87 87 87
70: 0 | 88
71: 0 | 89 89
72: 0 | 86
73: 2 | 86
74: 0 | 89 89 89
75: 0 | 90 90 90 90 90
76: 2 | 90 90
77: 0 | 90 90
78: 0 | 90 90 90 341
79: 0 | 341 90 90
80: 0 | 87 87 341
81: 0 | 90 90 341
82: 0 | 87 87
83: 0 | 87 90 90
84: 0 | 98 98 98 97 96
85: 0 | 98 98 98 97 96
86: 0 | 98 98 98 97 96
87: 0 | 98 98 98 97 96
88: 0 | 101 101
89: 0 | 104 101 101
90: 2 | 101 101
91: 1 | 101 101
92: 0 | 99 99 99
93: 0 | 99 99 99 99
94: 1 | 99 99 99
